id__bioguide,id__thomas,id__govtrack,social__twitter,social__facebook,social__youtube,social__youtube_id,social__twitter_id,social__instagram,social__instagram_id
H001064,02170,412584,RepDennyHeck,CongressmanDennyHeck,RepDennyHeck,UCU89cl5_yhHzo-oTHiEyaRg,1068499286,,
H001065,02143,412553,RepHolding,CongressmanGeorgeHolding,repholding,UCx6IgBfJmIhXSXymnPr78hw,1058460818,repholding,
N000127,00867,408211,USRepRickNolan,UsRepRickNolan,USRepRickNolan,UCmGkPQXVR8GzVAPXN54AoXg,1055685948,,
T000472,02110,412520,RepMarkTakano,RepMarkTakano,RepMarkTakano,UCJg4F1irmSFeKoXZBaZbX2w,1037321378,repmarktakano,
J000294,02149,412561,RepJeffries,RepHakeemJeffries,,UCYVmbsjoNbQ4j-PCQIYgpWQ,467823431,,
J000295,02154,412566,RepDaveJoyce,RepDaveJoyce,repdavejoyce,UCTu9xz2VYk-jtQv0TVsLyYA,976969338,repdavejoyce,360743678
L000579,02111,412521,RepLowenthal,RepLowenthal,RepLowenthal,UC-GgROtn5Hxm1H9a6qvy_Wg,1055730738,,
C001093,02121,412531,RepDougCollins,RepresentativeDougCollins,repdougcollins,UCgKTZXOJX2UwAdLNZ4MQdig,1060487274,,
W000814,02161,412574,TXRandy14,TXRandy14,TXRandy14,UCJSZRrAcd5i1bHLjR66PZdg,1058051748,,
K000381,02169,412583,RepDerekKilmer,derek.kilmer,,,1058917562,,
G000571,02122,412532,TulsiPress,RepTulsiGabbard,tulsipress,UCkQmC0YfIU4388Tu0_k4esA,1064206014,,
D000618,02138,412549,SteveDaines,SteveDainesMT,SteveDainesMT,UC-ny-W5mEUGytiyMdXbQ20Q,11651202,stevedaines,371125857
Y000065,02115,412525,RepTedYoho,CongressmanTedYoho,RepTedYoho,UCGmDQgEgP2Z0NjavmnS9Hwg,1071900114,,
E000293,02114,412524,RepEsty,RepEsty,RepEsty,UCJoc9OfUHVbx0Z7V055sbCA,1060984272,repesty,
K000382,02145,412557,RepAnnieKuster,CongresswomanAnnieKuster,RepKuster,UCYAD_Eti2b5gXSicbgPsBYA,1058717720,,
K000380,02134,412546,RepDanKildee,RepDanKildee,RepDanKildee,UC_KpQ-n3IT5dL5ul21XA9Yw,1045110018,repdankildee,582887115
C001090,02159,412571,RepCartwright,CongressmanMattCartwright,,UCnAOvexSGLBnYidaFzguhTQ,776664410,,
C001095,02098,412508,SenTomCotton,SenatorTomCotton,RepTomCotton,UCXEk6mokWBajIpNatbjnwSg,968650362,,
B001286,02127,412537,RepCheri,RepCheri,RepCheri,UCrkOYuIsVeb4dvKeeO7jnaA,1092979962,,
B001287,02102,412512,RepBera,RepAmiBera,repamibera,UClJCTCo53Zk6b4kUL-bbdzg,950783972,,
