id__bioguide,id__thomas,id__lis,id__govtrack,id__opensecrets,id__votesmart,id__icpsr,id__wikidata,id__google_entity_id,id__fec__-,id__wikipedia,id__house_history,id__icpsr_prez,name__first,name__middle,name__last,name__nickname,name__suffix,bio__birthday,bio__gender,bio__religion,terms__type,terms__start,terms__end,terms__party,terms__how
T000387,,,410956,,,9487,,,,,,99900,Harry,S.,Truman,,,1884-05-08,M,,viceprez,1945/01/20,1945/04/12,Democratic,election
T000387,,,410956,,,9487,,,,,,99900,Harry,S.,Truman,,,1884-05-08,M,,prez,1945/04/12,1949/01/20,Democratic,succession
T000387,,,410956,,,9487,,,,,,99900,Harry,S.,Truman,,,1884-05-08,M,,prez,1949/01/20,1953/01/20,Democratic,election
,,,412366,,,,,,,,,99901,Dwight,David,Eisenhower,,,1884-05-08,M,,prez,1953/01/20,1957/01/20,Republican,election
,,,412366,,,,,,,,,99901,Dwight,David,Eisenhower,,,1884-05-08,M,,prez,1957/01/20,1961/01/20,Republican,election
K000107,,,406274,,,5180,,,,,,99902,John,Fitzgerald,Kennedy,,,1917/05/29,M,,prez,1961/01/20,1963/11/22,Democratic,election
H000953,01366,,405797,,,4728,,,,,,,Hubert,Horatio,Humphrey,,Jr.,1911/05/27,M,,viceprez,1965/01/20,1969/01/20,Democratic,election
J000160,,,406058,,,4979,,,,,,99903,Lyndon,Baines,Johnson,,,1908/08/27,M,,viceprez,1961/01/20,1963/11/22,Democratic,election
J000160,,,406058,,,4979,,,,,,99903,Lyndon,Baines,Johnson,,,1908/08/27,M,,prez,1963/11/22,1965/01/20,Democratic,succession
J000160,,,406058,,,4979,,,,,,99903,Lyndon,Baines,Johnson,,,1908/08/27,M,,prez,1965/01/20,1969/01/20,Democratic,election
A000059,,,412593,,,,,,,,,,Spiro,Theodore,Agnew,,,1918/11/09,M,,viceprez,1969/01/20,1973/01/20,Republican,election
A000059,,,412593,,,,,,,,,,Spiro,Theodore,Agnew,,,1918/11/09,M,,viceprez,1973/01/20,1973/10/10,Republican,election
N000116,,,408200,,,6939,,,,,,99904,Richard,Milhous,Nixon,,,1913/01/09,M,,viceprez,1953/01/20,1957/01/20,Republican,election
N000116,,,408200,,,,,,,,,,Richard,,Nixon,,,1913/01/09,M,,viceprez,1957/01/20,1961/01/20,Republican,election
N000116,,,408200,,,,,,,,,,Richard,Milhous,Nixon,,,1913/01/09,M,,prez,1969/01/20,1973/01/20,Republican,election
N000116,,,408200,,,,,,,,,,Richard,Milhous,Nixon,,,1913/01/09,M,,prez,1973/01/20,1974/08/09,Republican,election
F000260,00399,,404212,,,3268,,,,,,99905,Gerald,Rudolph,Ford,,Jr.,1913/07/14,M,,viceprez,1973/12/06,1974/08/09,Republican,appointment
F000260,00399,,404212,,,3268,,,,,,99905,Gerald,Rudolph,Ford,,Jr.,1913/07/14,M,,prez,1974/08/09,1977/01/20,Republican,succession
R000363,,,412594,,,,,,,,,,Nelson,Aldrich,Rockefeller,,,1908/07/08,M,,viceprez,1974/12/19,1977/01/20,Republican,appointment
M000851,01402,,407824,,,10813,,,,,,,Walter,Frederick,Mondale,,,1928/01/05,M,,viceprez,1977/01/20,1981/01/20,Democratic,election
,,,412371,,,,,,,,,99906,James,Earl,Carter,Jimmy,,1924/10/01,M,,prez,1977/01/20,1981/01/20,Democratic,election
,,,412372,,,,,,,,,99907,Ronald,Wilson,Reagan,,,1911/02/06,M,,prez,1981/01/20,1985/01/20,Republican,election
,,,412372,,,,,,,,,99907,Ronald,Wilson,Reagan,,,1911/02/06,M,,prez,1985/01/20,1989/01/20,Republican,election
Q000007,00935,,408970,,,14447,,,,,,,James,Danforth,Quayle,Dan,,1947/02/04,M,,viceprez,1989/01/20,1993/01/20,Republican,election
B001166,,,402108,,,11008,,,,,,99908,George,Herbert Walker,Bush,,,1924/06/12,M,,viceprez,1981/01/20,1985/01/20,Republican,election
B001166,,,402108,,,11008,,,,,,99908,George,Herbert Walker,Bush,,,1924/06/12,M,,viceprez,1985/01/20,1989/01/20,Republican,election
B001166,,,402108,,,11008,,,,,,99908,George,Herbert Walker,Bush,,,1924/06/12,M,,prez,1989/01/20,1993/01/20,Republican,election
G000321,00449,S170,404679,,,14423,,,,,,,Albert,Arnold,Gore,Al,Jr.,1948/03/31,M,,viceprez,1993/01/20,1997/01/20,Democrat,election
