committee,name,party,rank,title,thomas,bioguide,chamber
SSEV08,Richard C. Shelby,majority,9,,01049,S000320,
SSEV08,John Barrasso,majority,10,Ex Officio,01881,B001261,
SSEV08,Benjamin L. Cardin,minority,1,Ranking Member,00174,C000141,
SSEV08,Bernard Sanders,minority,2,,01010,S000033,
SSEV08,Sheldon Whitehouse,minority,3,,01823,W000802,
SSEV08,Jeff Merkley,minority,4,,01900,M001176,
SSEV08,Kirsten E. Gillibrand,minority,5,,01866,G000555,
SSEV08,Edward J. Markey,minority,6,,00735,M000133,
SSEV08,Tammy Duckworth,minority,7,,02123,D000622,
SSEV08,Kamala D. Harris,minority,8,,,H001075,
SSEV08,Thomas R. Carper,minority,9,Ex Officio,00179,C000174,
SSEV09,Mike Rounds,majority,1,Chairman,02288,R000605,
SSEV09,Jerry Moran,majority,2,,01507,M000934,
SSEV09,Joni Ernst,majority,3,,02283,E000295,
SSEV09,Dan Sullivan,majority,4,,02290,S001198,
SSEV09,John Barrasso,majority,5,Ex Officio,01881,B001261,
SSEV09,Kamala D. Harris,minority,1,Ranking Member,,H001075,
SSEV09,Bernard Sanders,minority,2,,01010,S000033,
SSEV09,Cory A. Booker,minority,3,,02194,B001288,
SSEV09,Thomas R. Carper,minority,4,Ex Officio,00179,C000174,
SSEV10,Shelley Moore Capito,majority,1,Chairman,01676,C001047,
SSEV10,James M. Inhofe,majority,2,,00583,I000024,
SSEV10,John Boozman,majority,3,,01687,B001236,
SSEV10,Roger F. Wicker,majority,4,,01226,W000437,
SSEV10,Deb Fischer,majority,5,,02179,F000463,
SSEV10,Jerry Moran,majority,6,,01507,M000934,
SSEV10,Joni Ernst,majority,7,,02283,E000295,
SSEV10,Richard C. Shelby,majority,8,,01049,S000320,
SSEV10,John Barrasso,majority,9,Ex Officio,01881,B001261,
SSEV10,Sheldon Whitehouse,minority,1,Ranking Member,01823,W000802,
SSEV10,Benjamin L. Cardin,minority,2,,00174,C000141,
SSEV10,Bernard Sanders,minority,3,,01010,S000033,
SSEV10,Jeff Merkley,minority,4,,01900,M001176,
SSEV10,Kirsten E. Gillibrand,minority,5,,01866,G000555,
SSEV10,Edward J. Markey,minority,6,,00735,M000133,
SSEV10,Tammy Duckworth,minority,7,,02123,D000622,
SSEV10,Thomas R. Carper,minority,8,Ex Officio,00179,C000174,
SSEV15,John Boozman,majority,1,Chairman,01687,B001236,
SSEV15,James M. Inhofe,majority,2,,00583,I000024,
SSEV15,Shelley Moore Capito,majority,3,,01676,C001047,
SSEV15,Roger F. Wicker,majority,4,,01226,W000437,
SSEV15,Deb Fischer,majority,5,,02179,F000463,
SSEV15,Mike Rounds,majority,6,,02288,R000605,
SSEV15,Dan Sullivan,majority,7,,02290,S001198,
SSEV15,Richard C. Shelby,majority,8,,01049,S000320,
SSEV15,John Barrasso,majority,9,Ex Officio,01881,B001261,
SSEV15,Tammy Duckworth,minority,1,Ranking Member,02123,D000622,
SSEV15,Benjamin L. Cardin,minority,2,,00174,C000141,
SSEV15,Sheldon Whitehouse,minority,3,Ranking Member,01823,W000802,
SSEV15,Jeff Merkley,minority,4,,01900,M001176,
SSEV15,Kirsten E. Gillibrand,minority,5,,01866,G000555,
SSEV15,Cory A. Booker,minority,6,,02194,B001288,
SSEV15,Edward J. Markey,minority,7,,00735,M000133,
SSEV15,Thomas R. Carper,minority,8,Ex Officio,00179,C000174,
SSFI,Orrin G. Hatch,majority,1,Chairman,01351,H000338,
SSFI,Chuck Grassley,majority,2,,00457,G000386,
SSFI,Mike Crapo,majority,3,,00250,C000880,
SSFI,Pat Roberts,majority,4,,00968,R000307,
SSFI,Michael B. Enzi,majority,5,,01542,E000285,
SSFI,John Cornyn,majority,6,,01692,C001056,
SSFI,John Thune,majority,7,,01534,T000250,
SSFI,Richard Burr,majority,8,,00153,B001135,
SSFI,Johnny Isakson,majority,9,,01608,I000055,
SSFI,Rob Portman,majority,10,,00924,P000449,
SSFI,Patrick J. Toomey,majority,11,,02085,T000461,
SSFI,Dean Heller,majority,12,,01863,H001041,
SSFI,Tim Scott,majority,13,,02056,S001184,
SSFI,Bill Cassidy,majority,14,,01925,C001075,
SSFI,Ron Wyden,minority,1,Ranking Member,01247,W000779,
SSFI,Debbie Stabenow,minority,2,,01531,S000770,
SSFI,Maria Cantwell,minority,3,,00172,C000127,
SSFI,Bill Nelson,minority,4,,00859,N000032,
SSFI,Robert Menendez,minority,5,,00791,M000639,
SSFI,Thomas R. Carper,minority,6,,00179,C000174,
SSFI,Benjamin L. Cardin,minority,7,,00174,C000141,
SSFI,Sherrod Brown,minority,8,,00136,B000944,
SSFI,Michael F. Bennet,minority,9,,01965,B001267,
SSFI,"Robert P. Casey, Jr.",minority,10,,01828,C001070,
SSFI,Mark R. Warner,minority,11,,01897,W000805,
SSFI,Claire McCaskill,minority,12,,01820,M001170,
SSFI02,Bill Cassidy,majority,1,Chairman,01925,C001075,
SSFI02,Rob Portman,majority,2,,00924,P000449,
SSFI02,Mike Crapo,majority,3,,00250,C000880,
SSFI02,Patrick J. Toomey,majority,4,,02085,T000461,
SSFI02,Orrin G. Hatch,majority,5,Ex Officio,01351,H000338,
SSFI02,Sherrod Brown,minority,1,Ranking Member,00136,B000944,
SSFI02,"Robert P. Casey, Jr.",minority,2,,01828,C001070,
SSFI02,Ron Wyden,minority,3,Ex Officio,01247,W000779,
SSFI10,Patrick J. Toomey,majority,1,Chairman,02085,T000461,
SSFI10,Chuck Grassley,majority,2,,00457,G000386,
SSFI10,Pat Roberts,majority,3,,00968,R000307,
SSFI10,Michael B. Enzi,majority,4,,01542,E000285,
SSFI10,John Thune,majority,5,,01534,T000250,
SSFI10,Richard Burr,majority,6,,00153,B001135,
SSFI10,Johnny Isakson,majority,7,,01608,I000055,
SSFI10,Rob Portman,majority,8,,00924,P000449,
SSFI10,Dean Heller,majority,9,,01863,H001041,
SSFI10,Bill Cassidy,majority,10,,01925,C001075,
SSFI10,Orrin G. Hatch,majority,11,Ex Officio,01351,H000338,
SSFI10,Debbie Stabenow,minority,1,Ranking Member,01531,S000770,
SSFI10,Robert Menendez,minority,2,,00791,M000639,
SSFI10,Maria Cantwell,minority,3,,00172,C000127,
SSFI10,Thomas R. Carper,minority,4,,00179,C000174,
SSFI10,Benjamin L. Cardin,minority,5,,00174,C000141,
SSFI10,Sherrod Brown,minority,6,,00136,B000944,
SSFI10,Mark R. Warner,minority,7,,01897,W000805,
SSFI10,Ron Wyden,minority,8,,01247,W000779,
SSFI11,Rob Portman,majority,1,Chairman,00924,P000449,
SSFI11,Mike Crapo,majority,2,,00250,C000880,
SSFI11,Pat Roberts,majority,3,,00968,R000307,
SSFI11,Michael B. Enzi,majority,4,,01542,E000285,
SSFI11,John Cornyn,majority,5,,01692,C001056,
SSFI11,John Thune,majority,6,,01534,T000250,
SSFI11,Richard Burr,majority,7,,00153,B001135,
SSFI11,Johnny Isakson,majority,8,,01608,I000055,
SSFI11,Patrick J. Toomey,majority,9,,02085,T000461,
SSFI11,Tim Scott,majority,10,,02056,S001184,
SSFI11,Orrin G. Hatch,majority,11,Ex Officio,01351,H000338,
SSFI11,Mark R. Warner,minority,1,Ranking Member,01897,W000805,
SSFI11,Thomas R. Carper,minority,2,,00179,C000174,
SSFI11,Benjamin L. Cardin,minority,3,,00174,C000141,
SSFI11,Claire McCaskill,minority,4,,01820,M001170,
SSFI11,Robert Menendez,minority,5,,00791,M000639,
SSFI11,Michael F. Bennet,minority,6,,01965,B001267,
SSFI11,"Robert P. Casey, Jr.",minority,7,,01828,C001070,
SSFI11,Maria Cantwell,minority,8,,00172,C000127,
SSFI11,Ron Wyden,minority,9,Ex Officio,01247,W000779,
SSFI12,Dean Heller,majority,1,Chairman,01863,H001041,
SSFI12,Chuck Grassley,majority,2,,00457,G000386,
SSFI12,Mike Crapo,majority,3,,00250,C000880,
SSFI12,Michael B. Enzi,majority,4,,01542,E000285,
SSFI12,John Cornyn,majority,5,,01692,C001056,
SSFI12,Richard Burr,majority,6,,00153,B001135,
SSFI12,Tim Scott,majority,7,,02056,S001184,
SSFI12,Bill Cassidy,majority,8,,01925,C001075,
SSFI12,Orrin G. Hatch,majority,9,Ex Officio,01351,H000338,
SSFI12,Michael F. Bennet,minority,1,Ranking Member,01965,B001267,
SSFI12,Maria Cantwell,minority,2,,00172,C000127,
SSFI12,Bill Nelson,minority,3,,00859,N000032,
SSFI12,Robert Menendez,minority,4,,00791,M000639,
SSFI12,Thomas R. Carper,minority,5,,00179,C000174,
SSFI12,Mark R. Warner,minority,6,,01897,W000805,
SSFI12,Ron Wyden,minority,7,Ex Officio,01247,W000779,
SSFI13,John Cornyn,majority,1,Chairman,01692,C001056,
SSFI13,Chuck Grassley,majority,2,,00457,G000386,
SSFI13,Pat Roberts,majority,3,,00968,R000307,
SSFI13,Johnny Isakson,majority,4,,01608,I000055,
SSFI13,John Thune,majority,5,,01534,T000250,
SSFI13,Dean Heller,majority,6,,01863,H001041,
SSFI13,Orrin G. Hatch,majority,7,Ex Officio,01351,H000338,
SSFI13,"Robert P. Casey, Jr.",minority,1,Ranking Member,01828,C001070,
SSFI13,Debbie Stabenow,minority,2,,01531,S000770,
SSFI13,Bill Nelson,minority,3,,00859,N000032,
SSFI13,Claire McCaskill,minority,4,,01820,M001170,
SSFI13,Ron Wyden,minority,5,Ex Officio,01247,W000779,
SSFI14,Tim Scott,majority,1,Chairman,02056,S001184,
SSFI14,Orrin G. Hatch,majority,2,,01351,H000338,
SSFI14,Ron Wyden,minority,1,Ranking Member,01247,W000779,
SSFR,Bob Corker,majority,1,Chairman,01825,C001071,
SSFR,James E. Risch,majority,2,,01896,R000584,
SSFR,Marco Rubio,majority,3,,02084,R000595,
SSFR,Ron Johnson,majority,4,,02086,J000293,
SSFR,Jeff Flake,majority,5,,01633,F000444,
SSFR,Cory Gardner,majority,6,,01998,G000562,
SSFR,Todd Young,majority,7,,02019,Y000064,
SSFR,John Barrasso,majority,8,,01881,B001261,
SSFR,Johnny Isakson,majority,9,,01608,I000055,
SSFR,Rob Portman,majority,10,,00924,P000449,
SSFR,Rand Paul,majority,11,,02082,P000603,
SSFR,Benjamin L. Cardin,minority,1,Ranking Member,00174,C000141,
SSFR,Robert Menendez,minority,2,,00791,M000639,
SSFR,Jeanne Shaheen,minority,3,,01901,S001181,
SSFR,Christopher A. Coons,minority,4,,01984,C001088,
SSFR,Tom Udall,minority,5,,01567,U000039,
SSFR,Christopher Murphy,minority,6,,01837,M001169,
SSFR,Tim Kaine,minority,7,,02176,K000384,
SSFR,Edward J. Markey,minority,8,,00735,M000133,
SSFR,Jeff Merkley,minority,9,,01900,M001176,
SSFR,Cory A. Booker,minority,10,,02194,B001288,
SSFR01,Ron Johnson,majority,1,Chairman,02086,J000293,
SSFR01,James E. Risch,majority,2,,01896,R000584,
SSFR01,John Barrasso,majority,3,,01881,B001261,
SSFR01,Rob Portman,majority,4,,00924,P000449,
SSFR01,Rand Paul,majority,5,,02082,P000603,
SSFR01,Bob Corker,majority,6,Ex Officio,01825,C001071,
SSFR01,Christopher Murphy,minority,1,Ranking Member,01837,M001169,
SSFR01,Edward J. Markey,minority,2,,00735,M000133,
SSFR01,Robert Menendez,minority,3,,00791,M000639,
SSFR01,Jeanne Shaheen,minority,4,,01901,S001181,
SSFR01,Benjamin L. Cardin,minority,5,Ex Officio,00174,C000141,
SSFR02,Cory Gardner,majority,1,Chairman,01998,G000562,
SSFR02,James E. Risch,majority,2,,01896,R000584,
SSFR02,Marco Rubio,majority,3,,02084,R000595,
SSFR02,John Barrasso,majority,4,,01881,B001261,
SSFR02,Johnny Isakson,majority,5,,01608,I000055,
SSFR02,Bob Corker,majority,6,Ex Officio,01825,C001071,
SSFR02,Edward J. Markey,minority,1,Ranking Member,00735,M000133,
SSFR02,Jeff Merkley,minority,2,,01900,M001176,
SSFR02,Christopher Murphy,minority,3,,01837,M001169,
SSFR02,Tim Kaine,minority,4,,02176,K000384,
SSFR02,Benjamin L. Cardin,minority,5,Ex Officio,00174,C000141,
SSFR06,Marco Rubio,majority,1,Chairman,02084,R000595,
SSFR06,Ron Johnson,majority,2,,02086,J000293,
SSFR06,Jeff Flake,majority,3,,01633,F000444,
SSFR06,Cory Gardner,majority,4,,01998,G000562,
SSFR06,Johnny Isakson,majority,5,,01608,I000055,
SSFR06,Bob Corker,majority,6,Ex Officio,01825,C001071,
SSFR06,Robert Menendez,minority,1,Ranking Member,00791,M000639,
SSFR06,Tom Udall,minority,2,,01567,U000039,
SSFR06,Jeanne Shaheen,minority,3,,01901,S001181,
SSFR06,Tim Kaine,minority,4,,02176,K000384,
SSFR06,Benjamin L. Cardin,minority,5,Ex Officio,00174,C000141,
SSFR07,James E. Risch,majority,1,Chairman,01896,R000584,
SSFR07,Marco Rubio,majority,2,,02084,R000595,
SSFR07,Ron Johnson,majority,3,,02086,J000293,
SSFR07,Todd Young,majority,4,,02019,Y000064,
SSFR07,Rob Portman,majority,5,,00924,P000449,
SSFR07,Bob Corker,majority,6,Ex Officio,01825,C001071,
SSFR07,Tim Kaine,minority,1,Ranking Member,02176,K000384,
SSFR07,Robert Menendez,minority,2,,00791,M000639,
SSFR07,Christopher Murphy,minority,3,Ranking Member,01837,M001169,
SSFR07,Cory A. Booker,minority,4,,02194,B001288,
SSFR07,Benjamin L. Cardin,minority,5,Ex Officio,00174,C000141,
SSFR09,Jeff Flake,majority,1,Chairman,01633,F000444,
SSFR09,Todd Young,majority,2,,02019,Y000064,
SSFR09,John Barrasso,majority,3,,01881,B001261,
SSFR09,Johnny Isakson,majority,4,,01608,I000055,
SSFR09,Rand Paul,majority,5,,02082,P000603,
